iter	Passed	Remaining
0	219	109456
1	233	58102
2	256	42498
3	278	34495
4	296	29309
5	328	27060
6	372	26248
7	432	26611
8	461	25193
9	492	24118
10	510	22713
11	515	20945
12	522	19571
13	527	18316
14	532	17221
15	538	16301
16	544	15456
17	549	14716
18	554	14049
19	560	13443
20	569	12993
21	579	12582
22	589	12228
23	598	11877
24	620	11795
25	640	11683
26	658	11534
27	672	11330
28	678	11017
29	706	11069
30	727	11011
31	759	11108
32	783	11085
33	808	11084
34	825	10972
35	840	10831
36	867	10855
37	893	10864
38	913	10803
39	941	10832
40	961	10766
41	994	10845
42	1009	10732
43	1055	10939
44	1079	10914
45	1086	10728
46	1095	10556
47	1104	10402
48	1112	10243
49	1130	10171
50	1146	10091
51	1162	10013
52	1193	10068
53	1221	10089
54	1250	10121
55	1271	10082
56	1289	10018
57	1317	10042
58	1335	9980
59	1348	9887
60	1370	9861
61	1383	9775
62	1405	9749
63	1423	9694
64	1449	9701
65	1466	9646
66	1484	9596
67	1503	9550
68	1519	9488
69	1538	9451
70	1566	9462
71	1582	9407
72	1594	9326
73	1615	9298
74	1631	9246
75	1655	9238
76	1679	9225
77	1702	9210
78	1713	9131
79	1728	9073
80	1754	9075
81	1766	9006
82	1781	8950
83	1796	8897
84	1816	8866
85	1825	8786
86	1837	8723
87	1850	8664
88	1859	8587
89	1872	8529
90	1883	8463
91	1889	8379
92	1898	8309
93	1911	8257
94	1920	8187
95	1930	8122
96	1937	8050
97	1946	7983
98	1953	7911
99	1962	7849
100	1973	7797
101	1981	7732
102	1988	7663
103	2000	7615
104	2014	7576
105	2025	7526
106	2034	7473
107	2057	7466
108	2076	7450
109	2083	7386
110	2092	7333
111	2098	7269
112	2107	7216
113	2125	7197
114	2131	7136
115	2137	7076
116	2145	7024
117	2155	6977
118	2161	6921
119	2170	6871
120	2176	6816
121	2181	6759
122	2188	6707
123	2193	6651
124	2198	6595
125	2204	6542
126	2209	6489
127	2214	6436
128	2220	6385
129	2225	6334
130	2231	6285
131	2238	6240
132	2244	6192
133	2249	6145
134	2255	6098
135	2261	6051
136	2269	6012
137	2275	5968
138	2282	5928
139	2291	5891
140	2296	5846
141	2304	5810
142	2311	5771
143	2320	5737
144	2327	5697
145	2339	5673
146	2356	5659
147	2365	5625
148	2384	5617
149	2396	5591
150	2403	5554
151	2414	5526
152	2420	5488
153	2429	5458
154	2436	5423
155	2445	5393
156	2454	5362
157	2465	5337
158	2471	5300
159	2480	5271
160	2487	5237
161	2493	5202
162	2499	5168
163	2506	5134
164	2523	5123
165	2530	5091
166	2535	5055
167	2544	5028
168	2549	4993
169	2558	4966
170	2563	4932
171	2568	4898
172	2578	4873
173	2584	4841
174	2594	4817
175	2600	4786
176	2607	4758
177	2612	4726
178	2621	4701
179	2632	4679
180	2642	4656
181	2648	4626
182	2658	4605
183	2666	4578
184	2677	4559
185	2688	4538
186	2696	4513
187	2713	4502
188	2722	4479
189	2730	4455
190	2741	4434
191	2750	4412
192	2759	4388
193	2773	4374
194	2790	4364
195	2797	4339
196	2805	4314
197	2811	4288
198	2818	4263
199	2825	4238
200	2835	4218
201	2842	4193
202	2853	4175
203	2863	4154
204	2874	4135
205	2881	4112
206	2887	4087
207	2894	4063
208	2900	4038
209	2905	4011
210	2913	3989
211	2921	3968
212	2937	3958
213	2952	3945
214	2960	3925
215	2969	3903
216	2976	3882
217	2984	3860
218	2996	3844
219	3001	3820
220	3008	3798
221	3016	3777
222	3022	3754
223	3030	3734
224	3038	3713
225	3044	3690
226	3052	3670
227	3058	3648
228	3071	3635
229	3080	3615
230	3086	3594
231	3098	3579
232	3104	3557
233	3113	3538
234	3121	3519
235	3127	3498
236	3132	3476
237	3139	3456
238	3146	3436
239	3155	3418
240	3166	3402
241	3175	3385
242	3185	3369
243	3193	3350
244	3204	3335
245	3213	3318
246	3225	3303
247	3239	3291
248	3246	3272
249	3254	3254
250	3264	3238
251	3272	3220
252	3278	3201
253	3298	3194
254	3307	3177
255	3324	3168
256	3339	3157
257	3346	3138
258	3354	3121
259	3361	3102
260	3369	3085
261	3376	3067
262	3383	3049
263	3390	3030
264	3399	3014
265	3404	2995
266	3419	2984
267	3426	2966
268	3439	2953
269	3453	2942
270	3459	2923
271	3470	2909
272	3478	2892
273	3485	2874
274	3497	2861
275	3506	2845
276	3516	2830
277	3522	2813
278	3529	2796
279	3536	2778
280	3544	2762
281	3551	2745
282	3556	2727
283	3566	2712
284	3582	2702
285	3598	2692
286	3617	2685
287	3638	2678
288	3651	2665
289	3663	2652
290	3677	2641
291	3694	2632
292	3712	2622
293	3726	2611
294	3739	2598
295	3749	2584
296	3760	2570
297	3768	2554
298	3780	2541
299	3800	2533
300	3815	2522
301	3839	2517
302	3853	2505
303	3869	2495
304	3886	2484
305	3899	2472
306	3913	2460
307	3934	2452
308	3947	2440
309	3955	2424
310	3978	2417
311	4003	2412
312	4035	2410
313	4086	2420
314	4116	2417
315	4156	2420
316	4189	2418
317	4214	2411
318	4228	2399
319	4238	2384
320	4258	2374
321	4273	2362
322	4283	2347
323	4297	2334
324	4311	2321
325	4324	2308
326	4338	2295
327	4350	2281
328	4364	2268
329	4376	2254
330	4387	2240
